claim_id,policy_id,date_of_claim,claim_amount,claim_status,LastUpdatedTimeStamp
10001,679,2022-04-11 16:40:00,140087.89,Completed,2022-04-11 16:40:00
10002,681,2022-01-08 16:06:00,160138.57,Completed,2022-01-08 16:06:00
10003,801,2022-06-07 01:13:00,61679.48,In Progress,2022-06-07 01:13:00
10004,23,2023-02-18 17:06:40,110671.43,Completed,2023-02-18 17:06:40
10005,956,2022-09-21 06:00:00,135040.62,Denied,2022-09-21 06:00:00
10006,889,2022-12-30 06:00:00,162569.43,Completed,2022-12-30 06:00:00
10007,440,2022-04-27 03:26:40,67254.05,In Progress,2022-04-27 03:26:40
10008,293,2022-10-17 23:40:00,116247.7,Completed,2022-10-17 23:40:00
10009,54,2023-08-01 17:46:00,32499.48,In Progress,2023-08-01 17:46:00
10010,645,2023-01-31 01:53:20,48848.62,In Progress,2023-01-31 01:53:20
10011,759,2023-02-03 12:26:00,92100.01,In Progress,2023-02-03 12:26:00
10012,932,2022-04-22 09:33:20,62257.85,Completed,2022-04-22 09:33:20
10013,585,2022-09-11 18:53:00,24092.32,Completed,2022-09-11 18:53:00
10014,148,2023-09-02 16:26:00,85573.79,In Progress,2023-09-02 16:26:00
10015,133,2022-02-11 11:53:00,60381.99,Completed,2022-02-11 11:53:00
10016,92,2022-12-28 09:33:20,131212.8,Completed,2022-12-28 09:33:20
10017,479,2022-09-05 23:46:00,22839.66,In Progress,2022-09-05 23:46:00
10018,612,2022-05-12 08:46:00,169699.92,Completed,2022-05-12 08:46:00
10019,127,2023-03-21 03:40:00,102654.96,Completed,2023-03-21 03:40:00
10020,350,2022-10-27 08:40:00,112339.78,Completed,2022-10-27 08:40:00
10021,429,2023-07-03 17:26:00,49687.47,In Progress,2023-07-03 17:26:00
10022,395,2022-07-28 01:00:00,161694.09,Completed,2022-07-28 01:00:00
10023,203,2022-07-28 20:26:40,53586.12,In Progress,2022-07-28 20:26:40
10024,625,2022-05-12 19:53:00,88231.51,In Progress,2022-05-12 19:53:00
10025,199,2022-06-17 15:33:20,166286.49,In Progress,2022-06-17 15:33:20
10026,464,2023-12-02 22:13:00,169277.6,Completed,2023-12-02 22:13:00
10027,755,2022-10-27 05:53:20,80219.71,Completed,2022-10-27 05:53:20
10028,335,2023-02-23 08:13:20,100867.83,Completed,2023-02-23 08:13:20
10029,277,2022-09-09 02:20:00,18757.48,Denied,2022-09-09 02:20:00
10030,849,2022-11-15 05:26:40,42294.01,In Progress,2022-11-15 05:26:40
10031,661,2022-09-15 00:00:00,12066.89,In Progress,2022-09-15 00:00:00
10032,109,2022-10-19 09:00:00,15680.2,In Progress,2022-10-19 09:00:00
10033,737,2022-06-27 11:40:00,162801.97,Completed,2022-06-27 11:40:00
10034,473,2022-10-18 08:00:00,73295.07,Completed,2022-10-18 08:00:00
10035,608,2022-12-14 03:53:20,121568.25,In Progress,2022-12-14 03:53:20
10036,579,2022-04-22 20:40:00,120287.31,Completed,2022-04-22 20:40:00
10037,228,2022-09-24 00:40:00,58351.63,Completed,2022-09-24 00:40:00
10038,33,2022-04-22 12:20:00,152652.68,In Progress,2022-04-22 12:20:00
10039,73,2022-10-30 11:40:00,112833.41,In Progress,2022-10-30 11:40:00
10040,10,2022-05-12 11:33:00,110102.82,In Progress,2022-05-12 11:33:00
